[11:25:38] == exp7b lig | device=cuda:6 n=60 pH=[5.0, 5.5, 6.0, 6.5, 7.0, 7.4, 8.0, 8.5, 9.0] T=['T1', 'T2', 'T3'] ==
[11:25:38] backbone=ligandmpnn_v_32_010_25.pt enc=finetune_epoch050.pt
    条件编码器已加载: finetune_epoch050.pt  (epoch=50, n_tokens=4, token_dim=128)
[12:46:54]     [T3 1CGE pH5.5 n2] target=-6 eff=-2.087 n=60 (43s)
[12:47:37]     [T3 1CGE pH5.5 p2] target=-2 eff=+1.388 n=60 (43s)
[12:48:20]     [T3 1CGE pH5.5 n8] target=-12 eff=-7.299 n=60 (43s)
[12:49:02]     [T3 1CGE pH5.5 p8] target=+4 eff=+6.601 n=60 (43s)
[12:49:45]     [T3 1CGE pH6.0 native] target=-7 eff=-4.232 n=60 (43s)
[12:50:28]     [T3 1CGE pH6.0 n2] target=-9 eff=-5.917 n=60 (43s)
[12:51:10]     [T3 1CGE pH6.0 p2] target=-5 eff=-2.548 n=60 (43s)
[12:51:53]     [T3 1CGE pH6.0 n8] target=-15 eff=-10.971 n=60 (43s)
[12:52:36]     [T3 1CGE pH6.0 p8] target=+1 eff=+2.506 n=60 (43s)
[12:53:19]     [T3 1CGE pH6.5 native] target=-10 eff=-7.471 n=60 (43s)
[12:54:01]     [T3 1CGE pH6.5 n2] target=-12 eff=-9.206 n=60 (43s)
[12:54:44]     [T3 1CGE pH6.5 p2] target=-8 eff=-5.737 n=60 (43s)
[12:55:27]     [T3 1CGE pH6.5 n8] target=-18 eff=-14.409 n=60 (43s)
[12:56:10]     [T3 1CGE pH6.5 p8] target=-2 eff=-0.534 n=60 (43s)
[12:56:52]     [T3 1CGE pH7.0 native] target=-11 eff=-9.036 n=60 (43s)
[12:57:35]     [T3 1CGE pH7.0 n2] target=-13 eff=-10.678 n=60 (43s)
[12:58:18]     [T3 1CGE pH7.0 p2] target=-9 eff=-7.395 n=60 (43s)
[12:59:00]     [T3 1CGE pH7.0 n8] target=-19 eff=-15.601 n=60 (43s)
[12:59:43]     [T3 1CGE pH7.0 p8] target=-3 eff=-2.471 n=60 (43s)
[13:00:26]     [T3 1CGE pH7.4 native] target=-12 eff=-10.685 n=60 (43s)
[13:01:08]     [T3 1CGE pH7.4 n2] target=-14 eff=-12.544 n=60 (43s)
[13:01:51]     [T3 1CGE pH7.4 p2] target=-10 eff=-8.825 n=60 (43s)
[13:02:34]     [T3 1CGE pH7.4 n8] target=-20 eff=-18.122 n=60 (43s)
[13:03:17]     [T3 1CGE pH7.4 p8] target=-4 eff=-3.247 n=60 (43s)
[13:03:59]     [T3 1CGE pH8.0 native] target=-12 eff=-10.889 n=60 (43s)
[13:04:42]     [T3 1CGE pH8.0 n2] target=-14 eff=-12.927 n=60 (43s)
[13:05:25]     [T3 1CGE pH8.0 p2] target=-10 eff=-8.852 n=60 (43s)
[13:06:08]     [T3 1CGE pH8.0 n8] target=-20 eff=-19.040 n=60 (43s)
[13:06:50]     [T3 1CGE pH8.0 p8] target=-4 eff=-2.739 n=60 (43s)
