[11:25:38] == exp7b lig | device=cuda:6 n=60 pH=[5.0, 5.5, 6.0, 6.5, 7.0, 7.4, 8.0, 8.5, 9.0] T=['T1', 'T2', 'T3'] ==
[11:25:38] backbone=ligandmpnn_v_32_010_25.pt enc=finetune_epoch050.pt
    条件编码器已加载: finetune_epoch050.pt  (epoch=50, n_tokens=4, token_dim=128)
[13:00:17]     [T2 5O60_E pH9.0 n8] target=+2 eff=+1.520 n=60 (55s)
[13:01:12]     [T2 5O60_E pH9.0 p8] target=+18 eff=+10.508 n=60 (55s)
[13:02:06]     [T3 5O60_E pH5.0 native] target=+18 eff=+12.117 n=60 (55s)
[13:03:01]     [T3 5O60_E pH5.0 n2] target=+16 eff=+10.729 n=60 (54s)
[13:03:55]     [T3 5O60_E pH5.0 p2] target=+20 eff=+13.504 n=60 (54s)
[13:04:50]     [T3 5O60_E pH5.0 n8] target=+10 eff=+6.565 n=60 (54s)
[13:05:44]     [T3 5O60_E pH5.0 p8] target=+26 eff=+17.668 n=60 (55s)
[13:06:39]     [T3 5O60_E pH5.5 native] target=+16 eff=+9.664 n=60 (54s)
[13:07:31]     [T3 5O60_E pH5.5 n2] target=+14 eff=+8.120 n=60 (52s)
[13:08:18]     [T3 5O60_E pH5.5 p2] target=+18 eff=+11.208 n=60 (47s)
[13:09:05]     [T3 5O60_E pH5.5 n8] target=+8 eff=+3.488 n=60 (47s)
[13:09:53]     [T3 5O60_E pH5.5 p8] target=+24 eff=+15.840 n=60 (47s)
[13:10:40]     [T3 5O60_E pH6.0 native] target=+14 eff=+9.696 n=60 (47s)
[13:11:27]     [T3 5O60_E pH6.0 n2] target=+12 eff=+8.487 n=60 (47s)
[13:12:15]     [T3 5O60_E pH6.0 p2] target=+16 eff=+10.905 n=60 (47s)
[13:13:02]     [T3 5O60_E pH6.0 n8] target=+6 eff=+4.861 n=60 (47s)
[13:13:42]     [T3 5O60_E pH6.0 p8] target=+22 eff=+14.530 n=60 (40s)
[13:14:22]     [T3 5O60_E pH6.5 native] target=+12 eff=+8.861 n=60 (40s)
[13:15:01]     [T3 5O60_E pH6.5 n2] target=+10 eff=+7.578 n=60 (40s)
[13:15:41]     [T3 5O60_E pH6.5 p2] target=+14 eff=+10.144 n=60 (40s)
[13:16:20]     [T3 5O60_E pH6.5 n8] target=+4 eff=+3.730 n=60 (40s)
[13:17:00]     [T3 5O60_E pH6.5 p8] target=+20 eff=+13.992 n=60 (40s)
[13:17:40]     [T3 5O60_E pH7.0 native] target=+11 eff=+7.738 n=60 (40s)
[13:18:19]     [T3 5O60_E pH7.0 n2] target=+9 eff=+6.569 n=60 (40s)
[13:18:59]     [T3 5O60_E pH7.0 p2] target=+13 eff=+8.906 n=60 (40s)
[13:19:39]     [T3 5O60_E pH7.0 n8] target=+3 eff=+3.064 n=60 (40s)
[13:20:18]     [T3 5O60_E pH7.0 p8] target=+19 eff=+12.411 n=60 (40s)
[13:20:58]     [T3 5O60_E pH7.4 native] target=+11 eff=+7.040 n=60 (40s)
[13:21:37]     [T3 5O60_E pH7.4 n2] target=+9 eff=+5.828 n=60 (40s)
[13:22:17]     [T3 5O60_E pH7.4 p2] target=+13 eff=+8.253 n=60 (39s)
[13:22:56]     [T3 5O60_E pH7.4 n8] target=+3 eff=+2.192 n=60 (40s)
[13:23:36]     [T3 5O60_E pH7.4 p8] target=+19 eff=+11.889 n=60 (40s)
[13:24:16]     [T3 5O60_E pH8.0 native] target=+11 eff=+7.223 n=60 (40s)
[13:24:55]     [T3 5O60_E pH8.0 n2] target=+9 eff=+5.982 n=60 (40s)
[13:25:35]     [T3 5O60_E pH8.0 p2] target=+13 eff=+8.465 n=60 (40s)
[13:26:15]     [T3 5O60_E pH8.0 n8] target=+3 eff=+2.258 n=60 (40s)
[13:26:54]     [T3 5O60_E pH8.0 p8] target=+19 eff=+12.188 n=60 (40s)
[13:27:34]     [T3 5O60_E pH8.5 native] target=+11 eff=+7.937 n=60 (40s)
[13:28:13]     [T3 5O60_E pH8.5 n2] target=+9 eff=+6.781 n=60 (40s)
[13:28:53]     [T3 5O60_E pH8.5 p2] target=+13 eff=+9.092 n=60 (40s)
[13:29:33]     [T3 5O60_E pH8.5 n8] target=+3 eff=+3.313 n=60 (40s)
[13:30:12]     [T3 5O60_E pH8.5 p8] target=+19 eff=+12.560 n=60 (40s)
[13:30:52]     [T3 5O60_E pH9.0 native] target=+10 eff=+6.953 n=60 (40s)
[13:31:32]     [T3 5O60_E pH9.0 n2] target=+8 eff=+5.691 n=60 (40s)
[13:32:11]     [T3 5O60_E pH9.0 p2] target=+12 eff=+8.215 n=60 (40s)
[13:32:51]     [T3 5O60_E pH9.0 n8] target=+2 eff=+1.905 n=60 (40s)
[13:33:31]     [T3 5O60_E pH9.0 p8] target=+18 eff=+12.002 n=60 (40s)
[13:33:31] === 5O60_E done (7669s) ===
[13:33:31] 
=== exp7b 采样完成 ===
