[12:26:59] == exp7b lig | device=cuda:6 n=60 pH=[5.0, 5.5, 6.0, 6.5, 7.0, 7.4, 8.0, 8.5, 9.0] T=['T1', 'T2', 'T3'] ==
[12:26:59] backbone=ligandmpnn_v_32_010_25.pt enc=finetune_epoch050.pt
    条件编码器已加载: finetune_epoch050.pt  (epoch=50, n_tokens=4, token_dim=128)
[15:01:59]     [T3 1BJ4 pH7.4 p2] target=+2 eff=+3.029 n=60 (54s)
[15:02:53]     [T3 1BJ4 pH7.4 n8] target=-8 eff=-2.008 n=60 (54s)
[15:03:47]     [T3 1BJ4 pH7.4 p8] target=+8 eff=+6.051 n=60 (54s)
[15:04:41]     [T3 1BJ4 pH8.0 native] target=-2 eff=-0.135 n=60 (54s)
[15:05:35]     [T3 1BJ4 pH8.0 n2] target=-4 eff=-0.893 n=60 (54s)
[15:06:29]     [T3 1BJ4 pH8.0 p2] target=+0 eff=+0.623 n=60 (54s)
[15:07:23]     [T3 1BJ4 pH8.0 n8] target=-10 eff=-3.166 n=60 (54s)
[15:08:16]     [T3 1BJ4 pH8.0 p8] target=+6 eff=+2.896 n=60 (54s)
[15:09:10]     [T3 1BJ4 pH8.5 native] target=-6 eff=-1.872 n=60 (54s)
[15:10:04]     [T3 1BJ4 pH8.5 n2] target=-8 eff=-2.629 n=60 (54s)
[15:10:58]     [T3 1BJ4 pH8.5 p2] target=-4 eff=-1.116 n=60 (54s)
[15:11:52]     [T3 1BJ4 pH8.5 n8] target=-14 eff=-4.898 n=60 (54s)
[15:12:46]     [T3 1BJ4 pH8.5 p8] target=+2 eff=+1.153 n=60 (54s)
[15:13:40]     [T3 1BJ4 pH9.0 native] target=-10 eff=-5.472 n=60 (54s)
[15:14:34]     [T3 1BJ4 pH9.0 n2] target=-12 eff=-6.461 n=60 (54s)
[15:15:29]     [T3 1BJ4 pH9.0 p2] target=-8 eff=-4.483 n=60 (55s)
[15:16:23]     [T3 1BJ4 pH9.0 n8] target=-18 eff=-9.427 n=60 (54s)
[15:17:17]     [T3 1BJ4 pH9.0 p8] target=-2 eff=-1.517 n=60 (54s)
[15:17:17] === 1BJ4 done (10216s) ===
[15:17:17] 
=== exp7b 采样完成 ===
