[11:25:38] == exp7b prot | device=cuda:6 n=60 pH=[5.0, 5.5, 6.0, 6.5, 7.0, 7.4, 8.0, 8.5, 9.0] T=['T1', 'T2', 'T3'] ==
[11:25:38] backbone=mompnn_temberture_tm_esm_6_4_4_b01.ckpt enc=finetune_epoch030.pt
    条件编码器已加载: finetune_epoch030.pt  (epoch=30, n_tokens=4, token_dim=128)
[13:17:23]     [T2 1AS2 pH7.4 p2] target=-1 eff=+1.246 n=60 (58s)
[13:18:22]     [T2 1AS2 pH7.4 n8] target=-11 eff=-3.546 n=60 (58s)
[13:19:20]     [T2 1AS2 pH7.4 p8] target=+5 eff=+4.121 n=60 (58s)
[13:20:19]     [T2 1AS2 pH8.0 native] target=-5 eff=-0.671 n=60 (58s)
[13:21:17]     [T2 1AS2 pH8.0 n2] target=-7 eff=-1.629 n=60 (58s)
[13:22:16]     [T2 1AS2 pH8.0 p2] target=-3 eff=+0.287 n=60 (60s)
[13:23:15]     [T2 1AS2 pH8.0 n8] target=-13 eff=-4.504 n=60 (58s)
[13:24:13]     [T2 1AS2 pH8.0 p8] target=+3 eff=+3.162 n=60 (58s)
[13:25:12]     [T2 1AS2 pH8.5 native] target=-8 eff=-2.108 n=60 (58s)
[13:26:10]     [T2 1AS2 pH8.5 n2] target=-10 eff=-3.067 n=60 (58s)
[13:27:09]     [T2 1AS2 pH8.5 p2] target=-6 eff=-1.150 n=60 (58s)
[13:28:07]     [T2 1AS2 pH8.5 n8] target=-16 eff=-5.942 n=60 (58s)
[13:29:06]     [T2 1AS2 pH8.5 p8] target=+0 eff=+1.725 n=60 (58s)
[13:30:04]     [T2 1AS2 pH9.0 native] target=-11 eff=-3.546 n=60 (58s)
[13:31:02]     [T2 1AS2 pH9.0 n2] target=-13 eff=-4.504 n=60 (58s)
[13:32:01]     [T2 1AS2 pH9.0 p2] target=-9 eff=-2.587 n=60 (58s)
[13:32:59]     [T2 1AS2 pH9.0 n8] target=-19 eff=-7.379 n=60 (58s)
[13:33:54]     [T2 1AS2 pH9.0 p8] target=-3 eff=+0.287 n=60 (55s)
[13:34:45]     [T3 1AS2 pH5.0 native] target=+9 eff=+12.065 n=60 (51s)
[13:35:35]     [T3 1AS2 pH5.0 n2] target=+7 eff=+10.361 n=60 (51s)
[13:36:26]     [T3 1AS2 pH5.0 p2] target=+11 eff=+13.769 n=60 (51s)
[13:37:17]     [T3 1AS2 pH5.0 n8] target=+1 eff=+5.248 n=60 (51s)
[13:38:07]     [T3 1AS2 pH5.0 p8] target=+17 eff=+18.882 n=60 (51s)
[13:38:58]     [T3 1AS2 pH5.5 native] target=+4 eff=+6.415 n=60 (51s)
[13:39:49]     [T3 1AS2 pH5.5 n2] target=+2 eff=+5.278 n=60 (51s)
[13:40:39]     [T3 1AS2 pH5.5 p2] target=+6 eff=+7.551 n=60 (51s)
[13:41:30]     [T3 1AS2 pH5.5 n8] target=-4 eff=+1.869 n=60 (51s)
[13:42:21]     [T3 1AS2 pH5.5 p8] target=+12 eff=+10.961 n=60 (51s)
[13:43:11]     [T3 1AS2 pH6.0 native] target=+2 eff=+3.350 n=60 (51s)
[13:44:02]     [T3 1AS2 pH6.0 n2] target=+0 eff=+2.428 n=60 (51s)
[13:44:53]     [T3 1AS2 pH6.0 p2] target=+4 eff=+4.273 n=60 (51s)
[13:45:44]     [T3 1AS2 pH6.0 n8] target=-6 eff=-0.339 n=60 (51s)
[13:46:34]     [T3 1AS2 pH6.0 p8] target=+10 eff=+7.040 n=60 (51s)
[13:47:25]     [T3 1AS2 pH6.5 native] target=+0 eff=+3.063 n=60 (51s)
[13:48:16]     [T3 1AS2 pH6.5 n2] target=-2 eff=+1.971 n=60 (51s)
[13:49:07]     [T3 1AS2 pH6.5 p2] target=+2 eff=+4.156 n=60 (51s)
[13:49:57]     [T3 1AS2 pH6.5 n8] target=-8 eff=-1.305 n=60 (51s)
[13:50:46]     [T3 1AS2 pH6.5 p8] target=+8 eff=+7.432 n=60 (48s)
[13:51:29]     [T3 1AS2 pH7.0 native] target=-2 eff=+1.184 n=60 (44s)
[13:52:13]     [T3 1AS2 pH7.0 n2] target=-4 eff=+0.208 n=60 (44s)
[13:52:57]     [T3 1AS2 pH7.0 p2] target=+0 eff=+2.160 n=60 (44s)
[13:53:41]     [T3 1AS2 pH7.0 n8] target=-10 eff=-2.720 n=60 (44s)
[13:54:24]     [T3 1AS2 pH7.0 p8] target=+6 eff=+5.088 n=60 (44s)
[13:55:08]     [T3 1AS2 pH7.4 native] target=-3 eff=+0.181 n=60 (44s)
[13:55:51]     [T3 1AS2 pH7.4 n2] target=-5 eff=-0.685 n=60 (43s)
[13:56:35]     [T3 1AS2 pH7.4 p2] target=-1 eff=+1.047 n=60 (43s)
[13:57:18]     [T3 1AS2 pH7.4 n8] target=-11 eff=-3.283 n=60 (44s)
[13:58:02]     [T3 1AS2 pH7.4 p8] target=+5 eff=+3.644 n=60 (43s)
[13:58:45]     [T3 1AS2 pH8.0 native] target=-5 eff=-1.935 n=60 (44s)
[13:59:29]     [T3 1AS2 pH8.0 n2] target=-7 eff=-2.837 n=60 (44s)
[14:00:13]     [T3 1AS2 pH8.0 p2] target=-3 eff=-1.032 n=60 (44s)
[14:00:56]     [T3 1AS2 pH8.0 n8] target=-13 eff=-5.546 n=60 (44s)
[14:01:40]     [T3 1AS2 pH8.0 p8] target=+3 eff=+1.676 n=60 (44s)
[14:02:23]     [T3 1AS2 pH8.5 native] target=-8 eff=-4.287 n=60 (44s)
[14:03:07]     [T3 1AS2 pH8.5 n2] target=-10 eff=-5.192 n=60 (43s)
[14:03:50]     [T3 1AS2 pH8.5 p2] target=-6 eff=-3.382 n=60 (43s)
[14:04:33]     [T3 1AS2 pH8.5 n8] target=-16 eff=-7.906 n=60 (43s)
[14:05:17]     [T3 1AS2 pH8.5 p8] target=+0 eff=-0.668 n=60 (43s)
[14:06:00]     [T3 1AS2 pH9.0 native] target=-11 eff=-6.220 n=60 (43s)
[14:06:44]     [T3 1AS2 pH9.0 n2] target=-13 eff=-7.198 n=60 (43s)
[14:07:27]     [T3 1AS2 pH9.0 p2] target=-9 eff=-5.243 n=60 (44s)
[14:08:11]     [T3 1AS2 pH9.0 n8] target=-19 eff=-10.130 n=60 (43s)
[14:08:54]     [T3 1AS2 pH9.0 p8] target=-3 eff=-2.311 n=60 (44s)
[14:08:54] === 1AS2 done (9794s) ===
[14:08:54] 
=== exp7b 采样完成 ===
